collection,slug,title,faq_done,role,pillar_association
guides,advanced-cancer-treatment,Advanced Cancer Treatment: What It Really Means and How to Access It,Yes,PILLAR PAGE,Advanced Cancer Treatment
insights,advanced-treatment-for-stage-4-cancer,Advanced Treatment for Stage 4 Cancer,Yes,Support Page,Advanced Cancer Treatment
insights,cost-of-advanced-cancer-treatment-worldwide,Cost of Advanced Cancer Treatment Worldwide,Yes,Support Page,Advanced Cancer Treatment
insights,countries-offering-advanced-cancer-treatment,Countries Offering Advanced Cancer Treatment,Yes,Support Page,Advanced Cancer Treatment
insights,future-of-cancer-treatment,Future of Cancer Treatment,Yes,Support Page,Advanced Cancer Treatment
insights,gene-therapy-for-cancer-patients,Gene Therapy for Cancer Patients,Yes,Support Page,Advanced Cancer Treatment
insights,how-genomic-testing-guides-cancer-treatment,How Genomic Testing Guides Cancer Treatment,Yes,Support Page,Advanced Cancer Treatment
insights,how-to-access-advanced-treatment-abroad,How to Access Advanced Treatment Abroad,Yes,Support Page,Advanced Cancer Treatment
insights,immunotherapy-vs-chemotherapy,Immunotherapy vs Chemotherapy,Yes,Support Page,Cancer Immunotherapy
insights,latest-cancer-treatments-in-the-world,Latest Cancer Treatments in the World,Yes,Support Page,Advanced Cancer Treatment
insights,questions-to-ask-your-oncologist,Questions to Ask Your Oncologist,Yes,Support Page,Advanced Cancer Treatment
insights,side-effects-of-advanced-cancer-treatments,Side Effects of Advanced Cancer Treatments,Yes,Support Page,Advanced Cancer Treatment
insights,standard-treatment-vs-precision-oncology,Standard Treatment vs Precision Oncology,Yes,Support Page,Advanced Cancer Treatment
insights,success-rates-of-modern-cancer-treatments,Success Rates of Modern Cancer Treatments,Yes,Support Page,Advanced Cancer Treatment
insights,targeted-therapy-vs-immunotherapy,Targeted Therapy vs Immunotherapy,Yes,Support Page,Targeted Therapy
insights,tests-required-before-advanced-therapy,Tests Required Before Advanced Therapy,Yes,Support Page,Advanced Cancer Treatment
insights,til-therapy-explained,TIL Therapy Explained,Yes,Support Page,Advanced Cancer Treatment
insights,what-are-advanced-cancer-treatments,What Are Advanced Cancer Treatments?,Yes,Support Page,Advanced Cancer Treatment
insights,when-should-patients-consider-advanced-treatment,When Should Patients Consider Advanced Treatment,Yes,Support Page,Advanced Cancer Treatment
guides,blood-cancer-treatment,"Blood Cancer Treatment: Leukemia, Lymphoma, and Myeloma",Yes,PILLAR PAGE,"Blood Cancer Treatment: Leukaemia, Lymphoma, and Myeloma"
