source_folder,file,target_collection,target_slug,status
Pillar Pages - Faqs,advanced-cancer-treatment-faq-section.json,guides,advanced-cancer-treatment,DONE - verified live now
Pillar Pages - Faqs,bone-marrow-transplant-faq-section.json,treatments,bone-marrow-transplant,DONE - verified live now
Pillar Pages - Faqs,boron-neutron-capture-therapy-bnct-faq-section.json,treatments,boron-neutron-capture-therapy,DONE - verified live now
Pillar Pages - Faqs,brain-tumour-treatment-faq-section_1.json,conditions,brain-tumor,DONE - verified live now
Pillar Pages - Faqs,cancer-diagnosis-and-staging-faq-section.json,,,UNDONE - never had a matching page
Pillar Pages - Faqs,cancer-immunotherapy-faq-section.json,treatments,immunotherapy,DONE - verified live now (slug renamed cancer-immunotherapy -> immunotherapy)
Pillar Pages - Faqs,cancer-surgery-faq-section.json,treatments,cancer-surgery,DONE - verified live now
Pillar Pages - Faqs,car-nk-cell-therapy-faq-section.json,treatments,car-nk-cell-therapy,DONE - verified live now
Pillar Pages - Faqs,car-t-cell-therapy-for-leukemia-faq-section.json,treatments,car-t-cell-therapy-for-leukemia,DONE - verified live now
Pillar Pages - Faqs,car-t-cell-therapy-solid-tumors-faq-section.json,treatments,car-t-cell-therapy-for-solid-tumors,DONE - verified live now
Pillar Pages - Faqs,car-t-therapy-for-leukemia-faq-section.json,treatments,car-t-cell-therapy-for-leukemia,DONE - verified live now
Pillar Pages - Faqs,cik-therapy-faq-section.json,treatments,cik-therapy,DONE - verified live now
Pillar Pages - Faqs,cryoablation-faq-section.json,treatments,cryoablation,DONE - verified live now
Pillar Pages - Faqs,faq-breast-cancer-treatment-advanced-options-international-access.json,guides,breast-cancer-treatment,DONE - verified live now
Pillar Pages - Faqs,faq-car-t-cell-therapy-for-lymphoma.json,treatments,car-t-cell-therapy-for-lymphoma,DONE - verified live now
Pillar Pages - Faqs,faq-car-t-cell-therapy-multiple-myeloma.json,treatments,car-t-cell-therapy-for-multiple-myeloma,DONE - verified live now
Pillar Pages - Faqs,faq-clinical-trials-in-cancer.json,,,UNDONE - never had a matching page
Pillar Pages - Faqs,faq-guide-blood-cancer-treatment-leukaemia-lymphoma-myeloma.json,guides,blood-cancer-treatment,DONE - verified live now
Pillar Pages - Faqs,faq-lung-cancer-treatment-pillar.json,guides,lung-cancer-treatment,DONE - verified live now
Pillar Pages - Faqs,faq-pediatric-cancer-advanced-treatment.json,,,UNDONE - never had a matching page
Pillar Pages - Faqs,faq-pillar-stage-4-cancer-treatment.json,guides,stage-4-cancer-treatment,DONE - verified live now
Pillar Pages - Faqs,faq-precision-oncology-ngs-guided-therapy.json,guides,precision-oncology-ngs-testing,DONE - verified live now
Pillar Pages - Faqs,faq-proton-therapy-pillar.json,treatments,proton-therapy,DONE - verified live now
Pillar Pages - Faqs,faq-radiation-therapy.json,treatments,radiation-therapy,DONE - verified live now
Pillar Pages - Faqs,faq-radioligand-therapy-theranostics-cancer.json,treatments,radioligand-therapy-theranostics,DONE - verified live now
Pillar Pages - Faqs,faq-rare-cancer-treatments.json,,,UNDONE - never had a matching page
Pillar Pages - Faqs,faq-section-liver-cancer-treatment-surgery-tace-advanced-therapies.json,guides,liver-cancer-treatment,DONE - verified live now
Pillar Pages - Faqs,faq-treatment-targeted-therapy.json,treatments,targeted-therapy,DONE - verified live now
Pillar Pages - Faqs,gamma-delta-cell-therapy-faq-section.json,treatments,gamma-delta-t-cell-therapy,DONE - verified live now
Pillar Pages - Faqs,gastric-oesophageal-cancer-treatment-faq-section.json,,,UNDONE - never had a matching page
Pillar Pages - Faqs,gendicine-gene-therapy-for-cancer-faq.json,treatments,gendicine-gene-therapy,DONE - verified live now
Pillar Pages - Faqs,gene-therapy-inherited-blood-disorders-faq-section.json,treatments,gene-therapy-for-thalassaemia-and-sickle-cell-disease,DONE - verified live now
Pillar Pages - Faqs,gene-therapy-thalassemia-sickle-cell-faq.json,treatments,gene-therapy-for-thalassaemia-and-sickle-cell-disease,DONE - verified live now
Pillar Pages - Faqs,getting-a-cancer-second-opinion-abroad-faq-section.json,guides,second-opinions-from-international-experts,DONE - verified live now
Pillar Pages - Faqs,hifu-faq-section.json,treatments,hifu,DONE - verified live now
Pillar Pages - Faqs,hipec-pillar-faq-section.json,treatments,hipec,DONE - verified live now
Pillar Pages - Faqs,hormone-therapy-faq-section.json,treatments,hormone-therapy,DONE - verified live now
Pillar Pages - Faqs,hyperthermia-therapy-faq-section.json,treatments,hyperthermia-therapy,DONE - verified live now
Pillar Pages - Faqs,integrative-oncology-faq-section.json,,,UNDONE - never had a matching page
Pillar Pages - Faqs,international-cancer-treatment-faq.json,guides,international-cancer-treatment-china,DONE - verified live now
Pillar Pages - Faqs,microwave-ablation-mwa-faq-section.json,treatments,microwave-ablation,DONE - verified live now
Pillar Pages - Faqs,oncolytic-virus-therapy-faq-section.json,treatments,oncolytic-virus-therapy,DONE - verified live now
Pillar Pages - Faqs,palliative-care-supportive-therapy-faq-section.json,guides,palliative-care-supportive-therapy,DONE - verified live now
Pillar Pages - Faqs,photodynamic-therapy-faq-section.json,treatments,photodynamic-therapy,DONE - verified live now
Pillar Pages - Faqs,precision-oncology-ngs-testing-faq-section.json,guides,precision-oncology-ngs-testing,DONE - verified live now
Pillar Pages - Faqs,prostate-cancer-advanced-treatment-faq-section.json,guides,prostate-cancer-advanced-treatment,DONE - verified live now
Pillar Pages - Faqs,rfa-faq-section.json,treatments,radiofrequency-ablation,DONE - verified live now
Pillar Pages - Faqs,robotic-minimally-invasive-cancer-surgery-faq.json,treatments,robotic-minimally-invasive-cancer-surgery,DONE - verified live now
Pillar Pages - Faqs,stereotactic-radiosurgery-srs-sbrt-faq-section.json,treatments,stereotactic-radiosurgery,DONE - verified live now
Pillar Pages - Faqs,tace-faq-section.json,treatments,tace,DONE - verified live now
Pillar Pages - Faqs,til-therapy-faq-section.json,treatments,til-therapy,DONE - verified live now
Pillar Pages - Faqs,transarterial-radioembolization-tare-faq-section.json,treatments,tare,DONE - verified live now
Pillar Pages - Faqs,tumor-therapeutic-vaccines-faq.json,treatments,tumor-therapeutic-vaccines,DONE - verified live now
Pillar Pages - Faqs,yttrium-90-therapy-faq-section.json,guides,yttrium-90-radioembolisation-complete-guide,DONE - verified live now
150 pillar pages,advanced-treatment-for-stage-4-cancer-faq-section.json,insights,advanced-treatment-for-stage-4-cancer,DONE - verified live now
150 pillar pages,car-t-therapy-explained-faq-section.json,insights,car-t-therapy-explained,DONE - verified live now
150 pillar pages,cost-of-advanced-cancer-treatment-worldwide-faq-section.json,insights,cost-of-advanced-cancer-treatment-worldwide,DONE - verified live now
150 pillar pages,countries-offering-advanced-cancer-treatment-faq-section.json,insights,countries-offering-advanced-cancer-treatment,DONE - verified live now
150 pillar pages,future-of-cancer-treatment-faq-section.json,insights,future-of-cancer-treatment,DONE - verified live now
150 pillar pages,gene-therapy-for-cancer-patients-faq-section.json,insights,gene-therapy-for-cancer-patients,DONE - verified live now
150 pillar pages,how-genomic-testing-guides-cancer-treatment-faq-section.json,insights,how-genomic-testing-guides-cancer-treatment,DONE - verified live now
150 pillar pages,how-to-access-advanced-treatment-abroad-faq-section.json,insights,how-to-access-advanced-treatment-abroad,DONE - verified live now
150 pillar pages,latest-cancer-treatments-in-the-world-faq-section.json,insights,latest-cancer-treatments-in-the-world,DONE - verified live now
150 pillar pages,questions-to-ask-your-oncologist-faq-section.json,insights,questions-to-ask-your-oncologist,DONE - verified live now
150 pillar pages,side-effects-of-advanced-cancer-treatments-faq-section.json,insights,side-effects-of-advanced-cancer-treatments,DONE - verified live now
150 pillar pages,standard-treatment-vs-precision-oncology-faq-section.json,insights,standard-treatment-vs-precision-oncology,DONE - verified live now
150 pillar pages,success-rates-of-modern-cancer-treatments-faq-section.json,insights,success-rates-of-modern-cancer-treatments,DONE - verified live now
150 pillar pages,tests-required-before-advanced-therapy-faq-section.json,insights,tests-required-before-advanced-therapy,DONE - verified live now
150 pillar pages,til-therapy-explained-faq-section.json,insights,til-therapy-explained,DONE - verified live now
150 pillar pages,tumor-therapeutic-vaccines-explained-faq-section.json,insights,tumor-therapeutic-vaccines-explained,DONE - verified live now
150 pillar pages,what-are-advanced-cancer-treatments-faq-section.json,insights,what-are-advanced-cancer-treatments,DONE - verified live now
150 pillar pages,when-should-patients-consider-advanced-treatment-faq-section.json,insights,when-should-patients-consider-advanced-treatment,DONE - verified live now
150 pillar pages,immunotherapy-vs-chemotherapy-faq-section.json,insights,immunotherapy-vs-chemotherapy,DONE - verified live now
150 pillar pages,targeted-therapy-vs-immunotherapy-faq-section.json,insights,targeted-therapy-vs-immunotherapy,DONE - verified live now
150 pillar pages,acute-promyelocytic-leukemia-apl-the-most-curable-leukemia-and-why-atra-matters-faq-section.json,,,UNDONE - never had a matching page
150 pillar pages,all-in-adults-treatment-protocol-cns-prophylaxis-and-mrd-guided-therapy-faq-section.json,,,UNDONE - never had a matching page
150 pillar pages,aml-treatment-guide-induction-consolidation-and-when-is-transplant-needed-faq-section.json,,,UNDONE - never had a matching page
150 pillar pages,autologous-stem-cell-transplant-for-myeloma-what-patients-need-to-know-faq-section.json,,,UNDONE - never had a matching page
150 pillar pages,bcma-car-t-for-myeloma-accessing-cilta-cel-and-ide-cel-in-china-faq-section.json,,,UNDONE - never had a matching page
